DOBEC;OBEC;OKRES;PSC;DPOSTA;POSTA;KOD_OKR;KRAJ;;;;;;;;;;;;;;;;;;;;;;;
Bojnice;Bojnice;Prievidza;;;Pozri zoz.ulíc s PSÈ;307;TC;;;;;;;;;;;;;;;;;;;;;;;
Bojnièky;Bojnièky;Hlohovec;920 55;Bojnièky;Bojnièky;203;TA;;;;;;;;;;;;;;;;;;;;;;;
Bo¾;Bo¾;Trebišov;076 53;Bo¾;Bo¾;811;KI;;;;;;;;;;;;;;;;;;;;;;;
Boldog;Boldog;Senec;925 26;Reca;Reca;108;BL;;;;;;;;;;;;;;;;;;;;;;;
Boleráz;Boleráz;Trnava;919 08;Boleráz;Boleráz;207;TA;;;;;;;;;;;;;;;;;;;;;;;
Bolešov;Bolešov;Ilava;018 53;Bolešov;Bolešov;302;TC;;;;;;;;;;;;;;;;;;;;;;;
Boliarov;Boliarov;Košice - okolie;044 47;Kecerovce;Kecerovce;806;KI;;;;;;;;;;;;;;;;;;;;;;;
Bo¾kovce;Bo¾kovce;Luèenec;984 01;Luèenec 1;Luèenec 1;606;BC;;;;;;;;;;;;;;;;;;;;;;;
Borcová;Borcová;Turèianske Teplice;038 44;Malı Èepèín;Malı Èepèín;509;ZI;;;;;;;;;;;;;;;;;;;;;;;
Borèany;Borèany;Bánovce nad Bebravou;956 36;Rybany;Rybany;301;TC;;;;;;;;;;;;;;;;;;;;;;;
Borèice;Borèice;Ilava;018 53;Bolešov;Bolešov;302;TC;;;;;;;;;;;;;;;;;;;;;;;
Borda;Borda;Košice - okolie;044 45;Bidovce;Bidovce;806;KI;;;;;;;;;;;;;;;;;;;;;;;
Borinka;Borinka;Malacky;900 32;Borinka pri Bratislave;Borinka pri Brat.;106;BL;;;;;;;;;;;;;;;;;;;;;;;
Borová;Borová;Trnava;919 61;Ruindol;Ruindol;207;TA;;;;;;;;;;;;;;;;;;;;;;;
Borovce;Borovce;Piešany;922 09;Borovce;Borovce;204;TA;;;;;;;;;;;;;;;;;;;;;;;
Borskı Mikuláš;Borskı Mikuláš;Senica;908 77;Borskı Mikuláš;Borskı Mikuláš;205;TA;;;;;;;;;;;;;;;;;;;;;;;
Borskı Svätı Jur;Borskı Svätı Jur;Senica;908 79;Borskı Svätı Jur;Borskı Svätı Jur;205;TA;;;;;;;;;;;;;;;;;;;;;;;
Borša;Borša;Trebišov;076 32;Borša;Borša;811;KI;;;;;;;;;;;;;;;;;;;;;;;
Bory;Bory;Levice;935 87;Santovka;Santovka;402;NI;;;;;;;;;;;;;;;;;;;;;;;
Bošáca;Bošáca;Nové Mesto n.Váhom;913 07;Bošáca;Bošáca;304;TC;;;;;;;;;;;;;;;;;;;;;;;
Bošany;Bošany;Partizánske;956 18;Bošany;Bošany;305;TC;;;;;;;;;;;;;;;;;;;;;;;
Boany;Boany;Trebišov;076 43;Èierna nad Tisou;Èierna nad Tisou;811;KI;;;;;;;;;;;;;;;;;;;;;;;
Boany - Kolónia;Kolónia;Trebišov;076 42;Ve¾ké Trakany;Ve¾ké Trakany;811;KI;;;;;;;;;;;;;;;;;;;;;;;
Bottovo;Bottovo;Rimavská Sobota;980 41;Dubovec;Dubovec;609;BC;;;;;;;;;;;;;;;;;;;;;;;
Bôrka;Bôrka;Roòava;049 42;Drnava;Drnava;808;KI;;;;;;;;;;;;;;;;;;;;;;;
Bracovce;Bracovce;Michalovce;072 05;Bracovce;Bracovce;807;KI;;;;;;;;;;;;;;;;;;;;;;;
Branè;Branè;Nitra;951 13;Branè;Branè;403;NI;;;;;;;;;;;;;;;;;;;;;;;
Branovo;Branovo;Nové Zámky;941 31;Dvory nad itavou;Dvory nad itavou;404;NI;;;;;;;;;;;;;;;;;;;;;;;
Bratislava-Èunovo;Bratislava-Èunovo;Bratislava V;;;Pozri zoz.ulíc s PSÈ;105;BL;;;;;;;;;;;;;;;;;;;;;;;
Bratislava-Devín;Bratislava-Devín;Bratislava IV;;;Pozri zoz.ulíc s PSÈ;104;BL;;;;;;;;;;;;;;;;;;;;;;;
Bratislava-Devínska Nová Ves;Bratislava-Devínska Nová Ves;Bratislava IV;;;Pozri zoz.ulíc s PSÈ;104;BL;;;;;;;;;;;;;;;;;;;;;;;
Bratislava-Dúbravka;Bratislava-Dúbravka;Bratislava IV;;;Pozri zoz.ulíc s PSÈ;104;BL;;;;;;;;;;;;;;;;;;;;;;;
Bratislava-Jarovce;Bratislava-Jarovce;Bratislava V;;;Pozri zoz.ulíc s PSÈ;105;BL;;;;;;;;;;;;;;;;;;;;;;;
Bratislava-Karlova Ves;Bratislava-Karlova Ves;Bratislava IV;;;Pozri zoz.ulíc s PSÈ;104;BL;;;;;;;;;;;;;;;;;;;;;;;
Bratislava-Lamaè;Bratislava-Lamaè;Bratislava IV;;;Pozri zoz.ulíc s PSÈ;104;BL;;;;;;;;;;;;;;;;;;;;;;;
Bratislava-Nové Mesto;Bratislava-Nové Mesto;Bratislava III;;;Pozri zoz.ulíc s PSÈ;103;BL;;;;;;;;;;;;;;;;;;;;;;;
Bratislava-Petralka;Bratislava-Petralka;Bratislava V;;;Pozri zoz.ulíc s PSÈ;105;BL;;;;;;;;;;;;;;;;;;;;;;;
Bratislava-Podunajské Biskupice;Bratislava-Podunajské Biskupice;Bratislava II;;;Pozri zoz.ulíc s PSÈ;102;BL;;;;;;;;;;;;;;;;;;;;;;;
Bratislava-Raèa;Bratislava-Raèa;Bratislava III;;;Pozri zoz.ulíc s PSÈ;103;BL;;;;;;;;;;;;;;;;;;;;;;;
Bratislava-Rusovce;Bratislava-Rusovce;Bratislava V;;;Pozri zoz.ulíc s PSÈ;105;BL;;;;;;;;;;;;;;;;;;;;;;;
Bratislava-Ruinov;Bratislava-Ruinov;Bratislava II;;;Pozri zoz.ulíc s PSÈ;102;BL;;;;;;;;;;;;;;;;;;;;;;;
Bratislava-Staré Mesto;Bratislava-Staré Mesto;Bratislava I;;;Pozri zoz.ulíc s PSÈ;101;BL;;;;;;;;;;;;;;;;;;;;;;;
Bratislava-Vajnory;Bratislava-Vajnory;Bratislava III;;;Pozri zoz.ulíc s PSÈ;103;BL;;;;;;;;;;;;;;;;;;;;;;;
